"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.503371,106.103,330.901,1,"pose_keypoints",13,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,19.5974,-202.308,0.634720268694392,-6.46162004035186
0,NA,NA,1,"pose_keypoints",14,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0.877239,83.632,75.7569,1,"pose_keypoints",15,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-2.8736,52.8361,-0.0940862643177041,1.68746114153575
0.939436,98.2442,74.8343,1,"pose_keypoints",16,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,11.7386,53.7587,0.372517829293187,1.7162838188552
0.905815,73.8329,75.8049,1,"pose_keypoints",17,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-12.6727,52.7881,-0.40702106424248,1.6863579779188
0.309033,105.066,77.7144,1,"pose_keypoints",18,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,18.5604,50.8786,0.59050015842939,1.62400788458575
0,NA,NA,1,"pose_keypoints",19,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",3,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,NA,NA,NA,NA
